BookingID,Date,TimeSlot,ServiceType,EmployeeID,CustomerID,Duration,DayOfWeek,IsHolidayOrEvent,Season,IsWeekend,BookingStatus,EmployeeAvailability,FestivalImpact,CustomerType
BKG_1,2023-05-07,Evening,Post-Event Cleaning,Emp_4,CUST_1,3,Monday,1,Winter,0,Cancelled,1,0,One-time
BKG_2,2023-05-26,Evening,Standard Cleaning,Emp_14,CUST_2,4,Sunday,1,Winter,0,Confirmed,0,0,Recurring
BKG_3,2023-10-19,Afternoon,Move-in/Move-out Cleaning,Emp_15,CUST_3,1,Tuesday,0,Spring,0,Cancelled,0,0,One-time
BKG_4,2023-10-10,Evening,Post-Event Cleaning,Emp_17,CUST_4,3,Saturday,1,Summer,0,Cancelled,0,0,Recurring
BKG_5,2023-04-16,Evening,Deep Cleaning,Emp_3,CUST_5,3,Tuesday,0,Summer,0,Confirmed,0,0,Recurring
BKG_6,2023-04-11,Morning,Move-in/Move-out Cleaning,Emp_17,CUST_6,4,Sunday,0,Fall,0,Confirmed,1,0,Recurring
BKG_7,2023-04-14,Afternoon,Deep Cleaning,Emp_9,CUST_7,1,Thursday,0,Winter,1,Cancelled,0,0,One-time
BKG_8,2023-11-22,Afternoon,Post-Event Cleaning,Emp_1,CUST_8,1,Monday,0,Summer,0,Confirmed,0,0,Recurring
BKG_9,2023-03-28,Afternoon,Standard Cleaning,Emp_9,CUST_9,3,Wednesday,1,Winter,0,Confirmed,0,0,Recurring
BKG_10,2023-06-30,Evening,Move-in/Move-out Cleaning,Emp_8,CUST_10,2,Monday,0,Fall,0,Cancelled,1,0,Recurring
BKG_11,2023-10-31,Morning,Post-Event Cleaning,Emp_19,CUST_11,3,Saturday,0,Summer,0,Confirmed,0,0,One-time
BKG_12,2023-09-16,Morning,Move-in/Move-out Cleaning,Emp_19,CUST_12,3,Friday,0,Fall,0,Cancelled,0,0,One-time
BKG_13,2023-02-24,Afternoon,Deep Cleaning,Emp_15,CUST_13,3,Monday,1,Winter,1,Confirmed,1,0,Recurring
BKG_14,2023-07-23,Afternoon,Post-Event Cleaning,Emp_1,CUST_14,3,Thursday,0,Winter,0,Confirmed,1,0,Recurring
BKG_15,2023-08-12,Afternoon,Post-Event Cleaning,Emp_1,CUST_15,4,Sunday,0,Summer,0,Confirmed,0,0,Recurring
BKG_16,2023-11-06,Evening,Move-in/Move-out Cleaning,Emp_18,CUST_16,1,Wednesday,1,Fall,0,Confirmed,1,0,One-time
BKG_17,2023-10-07,Morning,Post-Event Cleaning,Emp_19,CUST_17,4,Wednesday,1,Winter,1,Cancelled,0,0,Recurring
BKG_18,2023-08-25,Afternoon,Standard Cleaning,Emp_17,CUST_18,4,Saturday,0,Fall,1,Cancelled,1,0,Recurring
BKG_19,2023-01-28,Afternoon,Standard Cleaning,Emp_6,CUST_19,4,Saturday,1,Summer,0,Cancelled,1,0,One-time
BKG_20,2023-02-06,Morning,Move-in/Move-out Cleaning,Emp_10,CUST_20,3,Friday,1,Winter,0,Confirmed,0,0,Recurring
BKG_21,2023-04-18,Afternoon,Post-Event Cleaning,Emp_18,CUST_21,2,Monday,0,Fall,0,Confirmed,0,0,Recurring
BKG_22,2023-02-20,Evening,Post-Event Cleaning,Emp_19,CUST_22,1,Saturday,1,Summer,0,Cancelled,0,0,Recurring
BKG_23,2023-04-10,Morning,Post-Event Cleaning,Emp_3,CUST_23,2,Wednesday,1,Winter,0,Cancelled,1,0,Recurring
BKG_24,2023-09-03,Afternoon,Standard Cleaning,Emp_15,CUST_24,4,Thursday,0,Summer,0,Cancelled,1,0,One-time
BKG_25,2023-10-15,Afternoon,Standard Cleaning,Emp_15,CUST_25,4,Sunday,0,Winter,1,Cancelled,1,0,One-time
BKG_26,2023-11-23,Afternoon,Post-Event Cleaning,Emp_4,CUST_26,2,Monday,0,Fall,0,Confirmed,0,1,Recurring
BKG_27,2023-01-19,Morning,Move-in/Move-out Cleaning,Emp_11,CUST_27,2,Tuesday,0,Summer,0,Confirmed,0,0,One-time
BKG_28,2023-01-19,Afternoon,Deep Cleaning,Emp_2,CUST_28,2,Wednesday,1,Spring,1,Cancelled,0,0,Recurring
BKG_29,2023-04-03,Morning,Deep Cleaning,Emp_13,CUST_29,4,Thursday,1,Fall,0,Confirmed,0,0,One-time
BKG_30,2023-03-08,Afternoon,Post-Event Cleaning,Emp_10,CUST_30,4,Tuesday,0,Fall,0,Cancelled,1,0,Recurring
BKG_31,2023-09-12,Afternoon,Deep Cleaning,Emp_8,CUST_31,1,Wednesday,0,Fall,0,Confirmed,0,0,Recurring
BKG_32,2023-06-26,Afternoon,Standard Cleaning,Emp_5,CUST_32,1,Saturday,1,Summer,1,Cancelled,0,0,Recurring
BKG_33,2023-07-22,Morning,Standard Cleaning,Emp_3,CUST_33,4,Friday,0,Fall,0,Cancelled,0,0,Recurring
BKG_34,2023-02-06,Morning,Deep Cleaning,Emp_15,CUST_34,2,Sunday,1,Fall,1,Cancelled,1,0,One-time
BKG_35,2023-11-23,Morning,Move-in/Move-out Cleaning,Emp_13,CUST_35,2,Saturday,1,Spring,0,Confirmed,1,1,Recurring
BKG_36,2023-12-30,Morning,Standard Cleaning,Emp_9,CUST_36,1,Sunday,0,Fall,0,Cancelled,0,0,One-time
BKG_37,2023-04-04,Afternoon,Deep Cleaning,Emp_1,CUST_37,4,Thursday,1,Spring,0,Cancelled,1,0,One-time
BKG_38,2023-06-07,Evening,Move-in/Move-out Cleaning,Emp_12,CUST_38,1,Friday,0,Spring,0,Confirmed,1,0,Recurring
BKG_39,2023-03-08,Evening,Post-Event Cleaning,Emp_7,CUST_39,1,Monday,0,Summer,0,Cancelled,0,0,One-time
BKG_40,2023-08-20,Morning,Post-Event Cleaning,Emp_2,CUST_40,3,Wednesday,1,Summer,0,Cancelled,1,0,Recurring
BKG_41,2023-02-13,Afternoon,Post-Event Cleaning,Emp_2,CUST_41,3,Monday,1,Winter,0,Confirmed,1,0,One-time
BKG_42,2023-09-04,Afternoon,Standard Cleaning,Emp_5,CUST_42,3,Friday,1,Fall,0,Confirmed,0,0,Recurring
BKG_43,2023-01-26,Afternoon,Move-in/Move-out Cleaning,Emp_10,CUST_43,2,Thursday,0,Summer,0,Confirmed,1,0,One-time
BKG_44,2023-05-08,Morning,Standard Cleaning,Emp_18,CUST_44,4,Monday,1,Fall,0,Cancelled,0,0,One-time
BKG_45,2023-09-20,Morning,Deep Cleaning,Emp_10,CUST_45,4,Sunday,0,Spring,0,Confirmed,0,0,One-time
BKG_46,2023-07-24,Evening,Post-Event Cleaning,Emp_6,CUST_46,4,Sunday,1,Winter,1,Confirmed,0,0,One-time
BKG_47,2023-11-21,Morning,Deep Cleaning,Emp_4,CUST_47,4,Wednesday,0,Spring,0,Cancelled,0,0,One-time
